column_0,column_1,column_2,column_3,column_4,column_5
1.9779,1.7613,-10.0723,-15.8916,-1.7555,-3.82
2.21745,1.85185,-10.05055,-19.508850000000002,-21.798099999999998,3.9566500000000002
2.8711,1.3704,-10.9019,-24.652,-27.2273,0.3539
2.37735,1.2850000000000001,-11.5411,-46.3524,-20.23565,-5.877
2.0167,1.5172,-11.1515,-66.9154,-24.6607,-6.0372
1.5625499999999999,1.5762,-10.343350000000001,-87.71209999999999,-51.12885,-5.1857500000000005
1.2662,2.196,-7.3567,-91.3726,-29.0063,-1.4045
-0.25225000000000003,3.4749499999999998,-4.009,-63.53605,-2.59905,6.27465
-1.734,4.2626,0.1605,-0.9918,-18.7893,27.6478
-1.0348000000000002,3.09955,3.6121499999999997,115.5085,-31.6676,40.71495
-0.5936,0.3359,6.0849,260.8165,10.6291,47.5523
-0.50675,-4.9907,7.42975,439.6924,19.6813,73.81855
1.5208,-13.1126,1.3322,591.3041,-94.4621,88.5236
4.3853,-19.25225,-12.503350000000001,487.85720000000003,73.73539999999998,27.4377
6.0865,-20.1517,-22.2093,319.1871,273.1731,26.1426
6.5091,-17.48565,-22.17035,116.7614,80.05720000000001,-19.41885
8.1119,-15.7034,-21.0098,-37.9371,-70.2498,-47.4955
5.54175,-14.4789,-18.832250000000002,-187.23045,-139.42725000000002,-62.0603
3.7664,-12.2351,-14.8099,-225.3631,-42.3067,-82.4713
2.4189499999999997,-9.453399999999998,-14.09595,-278.98285,-70.57025,-70.08324999999999
4.0604,-6.7987,-8.2352,-296.1654,-19.1908,-95.0294
1.5644500000000001,-3.07205,-7.20315,-268.35040000000004,103.44175,-121.62785
-3.2566,-0.3562,-5.0562,-245.3425,21.2902,-68.2171
-0.2025,0.5238499999999999,-1.25435,-133.7525,-129.2877,-4.9451
-3.7,0.7642,-2.8033,-67.9788,-203.2922,112.4846
-5.0732,0.4397,-5.8438,-35.16685,-110.86685,155.12619999999998
-7.7102,-0.3829,-4.5837,25.2366,11.1383,151.5728
-4.96555,-0.9801,-2.20905,73.63325,102.12545,178.5914
3.7359,-2.063,1.8395,159.4525,128.3004,166.6857
13.3943,-4.5947499999999994,-3.0375499999999995,179.10309999999998,89.0977,96.22205
18.5313,-5.5795,-4.3033,140.4695,-58.6144,-2.8297
18.862299999999998,-7.2005,-3.42235,162.51855,-106.30985,-199.0414
11.2118,-10.5604,-10.1252,161.9076,-186.4259,-358.1015
-6.812499999999999,-11.874400000000001,-14.51365,86.243,-260.40205000000003,-300.59175
-18.9741,-10.654,-18.4603,12.5643,-89.7361,-85.9283
-17.12825,-8.183499999999999,-15.104,-62.631699999999995,14.546400000000002,130.3818
-11.6034,-7.3646,-12.8162,-133.1106,130.7862,275.1467
-4.7898,-5.77715,-7.2471,-128.4034,168.3811,275.5788
1.2173,-4.029,0.9079,-17.879,144.9273,298.9247
8.89765,-5.7781,3.0393499999999998,144.8169,50.486599999999996,250.95139999999998
14.2334,-7.4119,-0.6821,222.7232,61.2178,158.6192
12.8299,-7.93485,-2.40465,218.1096,-56.665400000000005,65.30905
12.2249,-7.6275,-3.1815,171.9042,-251.9728,45.6858
14.2839,-11.945,-6.69825,204.0722,-325.70714999999996,-128.28140000000002
11.0982,-16.4559,-8.3359,149.1581,-207.6625,-292.5917
3.42115,-17.325400000000002,-7.911300000000001,76.65685,-124.81445,-424.55224999999996
-7.3516,-15.8609,-10.7931,1.7546,-125.3684,-336.7437
-7.44375,-11.78455,-8.0318,-59.45495,-10.891750000000002,-191.5965
-2.7095,-8.4481,-5.0127,-51.0406,34.9177,-108.7525
-0.7164999999999999,-7.12565,-8.21965,-46.4532,5.6968,-52.84475
1.9631,-6.8357,-9.5088,-95.7123,-61.6776,11.6203
5.3541,-6.216200000000001,-4.07295,-68.2435,-36.9469,13.65585
5.5655,-6.4365,-6.9005,-1.7281,8.4779,-21.0302
4.299300000000001,-6.79075,-9.50385,-25.747700000000002,6.054399999999999,-24.98925
4.5866,-5.7183,-6.388,-47.9614,15.3345,-26.8923
4.67615,-4.23085,-4.7088,-17.3823,38.0591,-5.144850000000001
4.7893,-4.3342,-6.691,-4.2736,46.4104,9.3834
4.78555,-5.18805,-8.3576,-32.8009,38.572,19.79365
5.64,-5.0685,-6.5555,-41.9557,0.0777,17.3884
5.72035,-4.458,-6.75675,-34.155699999999996,-17.5599,8.418050000000001
3.9999,-4.4619,-8.3544,-41.0715,-10.6963,17.4973
5.03995,-4.803,-6.76935,-51.436,-12.59055,17.00305
