Roll (degrees),Pitch (degrees)
0.0,0.0
0.16345445320991303,0.01939403046899186
0.3280690971916735,0.025978634396267113
0.49535314073131687,0.0077995144324152065
0.6517683329686308,-0.0004985819866814723
0.7923698499669405,0.01955075475427767
0.9267481184903239,0.05318364295488051
1.0582035039078268,0.0845259200048735
1.1761340432535732,0.11985367800077923
1.2769520091244781,0.15890195896067444
1.375977229595283,0.178876736287057
1.4796800865734898,0.16493265754102426
1.5777566716104103,0.13787281941557725
1.6705394995744223,0.12396119164737214
1.7604233847137012,0.14347949153286144
1.8387539618496636,0.2089974907383189
1.8744990377183002,0.3339018017117158
1.8490039428356186,0.5052501629182161
1.7036890437652679,0.7456890777858023
1.2706599181622775,0.9938804848303384
0.2748020369798605,1.015210790834136
-0.41672174812981055,0.5057807959449055
-0.8847548609588161,-0.04848206300674527
-1.462595062950311,-0.4087654635529
-2.261813748796732,-0.45483942670466576
-3.0028427074407436,-0.11107653105942411
-3.60701842555844,0.2621502414693895
-4.321007958962337,0.36398946563217094
-5.004330804540636,0.07017871648674501
-5.166389271213742,-0.4331146480032071
-5.327855116140283,-0.9997544348187064
-5.812330366385243,-1.6819755254019813
-0.35600330461119756,-2.1991066131998984
0.5672539795488778,-2.0121868865840273
1.63906806789532,-2.529629803503809
1.2262618646706895,-3.3006366341583435
0.9379369343207984,-4.065242342743597
-0.10156459150987157,-4.696436860647672
-69.11081541196175,-4.281482632694595
-68.11701198362893,-3.9191982653823914
-65.54180352265745,-4.49247129655475
-56.783769586579936,-4.123697455362826
-55.470483588205795,-3.2862327218576675
-52.68074429449284,-3.914646320638053
-48.98752075223087,-3.33469560436115
-46.46754137632554,-3.8837509716654264
-43.16365663573415,-3.3647515214480124
-40.85184103574357,-3.6471831114297553
-37.99002178796835,-3.6356669184262627
-35.89678816954751,-3.089188571602697
-33.61724240212953,-3.5010284868273653
-31.285683795932155,-2.9078152971458127
-28.998268241908377,-2.694017547515796
-26.93053262305679,-2.8418497109639325
-24.838105190345722,-2.498203459481491
-22.813629679049058,-2.338735526684248
-21.030530533886974,-2.2336932621979986
-19.158701210946514,-2.0169804309995665
-17.433822041407975,-1.9988093768508555
-16.090312880032467,-1.6707674606373089
-12.358242099609637,-1.310845914224154
-9.783214891311596,-1.2822459913558308
-9.273894641869369,-0.9167005481280608
-8.476278044185175,-0.6741713495320325
-7.8682294177569325,-0.8453861863863411
-7.196746716512274,-1.3512336973491024
-5.481238578153723,-1.8258371268373674
-7.056372868708934,-1.4772359489519031
-3.975741305509163,-2.140720619405181
-2.952732674927522,-1.0764538305499523
-4.2166101744364095,-0.6315688213132339
-3.607893215818545,0.5673256992352073
-2.845094625678743,1.5744839755373419
-321.37556400228164,1.8543920686163458
-305.13269167682864,0.49430950499722065
-289.83369542854206,1.550044695688896
-290.7698561647246,0.2191988697463561
-276.92042904505166,-0.7325065088795769
-263.4312262633606,-1.52564055864761
-233.14098060025958,-1.508974624790683
-218.16295472186584,-2.063703298675132
-208.2772757392595,-1.439972289455345
-197.68077919192464,-1.685822256791364
-186.84946818951866,-1.5830651099902109
-181.63115809006672,-1.4475093810225759
-172.68626687442017,-1.3576294766203134
-164.54860879871407,-1.3618635073442615
-156.29105718312107,-1.3042462831846258
