Roll (degrees),Pitch (degrees)
0.0,0.0
0.16186349812245163,0.0014743319411823015
0.3173581624814915,0.009954064594979363
0.46217996363477304,0.022340958419828943
0.28228824605690167,0.029819390606269924
0.11042309640954959,0.027544118595941833
-0.05054685376959685,0.019823801417742544
-0.2042694955810671,0.01618281795559922
-0.3522972900912183,0.01657135710137058
-0.1775157247864147,0.017758463413101184
-0.010111435140708558,0.01630758784085531
-0.16362405782323697,0.012658611500568556
-0.3091591142420249,0.012687942068423885
-0.45091704434865276,0.01680919357728978
-0.2725676451117418,0.01987376214425654
-0.1011880150568912,0.022133130081050237
0.06261564662129206,0.023927678733354142
0.2162251994934994,0.027475260959987858
0.36014436068256317,0.033241214024849065
0.4965444535744513,0.03837549474860398
0.6264129150586828,0.042852486050567476
0.7491085623593584,0.04815346395884707
0.8653711581125332,0.054102566157825514
0.9782155765251869,0.059742776944015474
0.772190025787377,0.06286739403054603
0.5768927009916329,0.062434672923755236
0.7064978211634558,0.05948007597812869
0.8280130312185972,0.059627378460279906
0.6268798646550745,0.0631343140271691
0.7483599094862841,0.0645894647741503
0.8662948926877394,0.06350560125352742
0.982501134748342,0.05821489137090967
1.0905512400012056,0.05262349047284184
1.1916882649440308,0.048829057906596474
1.2903509710575731,0.0486141491929483
1.3865097571574647,0.05021835734097781
1.4771039661580767,0.05288617246019647
1.5622197164370084,0.05622430692445314
1.6421166331870105,0.05795259695069288
1.7214342996097844,0.057918493836036006
1.7991203008266377,0.060325640788566975
1.8720196615039493,0.06498812399525897
1.9384066597579834,0.0701031956519931
1.9995570241160625,0.07378385674373188
2.0573712010855503,0.07499286043491858
2.1081821283175635,0.07595334049841808
1.8471411025785618,0.07792656695376586
1.6016239517774213,0.07950345493451094
1.369057775057636,0.082299895896669
1.1439696912074182,0.08582520270705446
0.9278870260975037,0.0878310613694903
1.0361514255499489,0.08622249722117757
1.140554959066118,0.08519476373377233
1.2427417894737371,0.08604615413474825
1.341233334049413,0.08781662655918893
1.4319720016264919,0.09144910267840604
1.516004885558265,0.09484576980807474
1.5954335980535532,0.09591953276275852
1.6727649525716264,0.0951981870364728
1.7479334707165015,0.09378935503888026
1.8188977907865254,0.09290582575173549
1.8849401953958624,0.09383470482249312
1.9468203924423069,0.09509892436286528
2.0053126929999503,0.0961771877601005
2.0607509673016433,0.09691055886870284
2.114254072276952,0.09675091456309275
2.1642377765153222,0.09630185991138429
1.8991124564603858,0.0866789698984607
1.64884742762496,0.07700775635795033
1.4126572028847468,0.06925726611218656
1.187106658584665,0.06532182801302215
0.9725214319736126,0.06757109663701692
0.7694454579881878,0.07463560793708496
0.5792021176534963,0.08190376907008802
0.7120435512833447,0.0865046630458465
0.8347917839564138,0.08836456775516638
0.9477537701144367,0.08948742773831217
1.0564118842453227,0.08992862506345188
1.1633638705492988,0.08942559376385842
1.263372767446687,0.09020113807091999
1.3552430818167398,0.0913661939698722
1.4433735134095111,0.09075589011519516
1.5302069403932794,0.08884514706829721
1.6133760607349399,0.08833399013857213
1.6921961796628096,0.09023743516841436
1.76447202574405,0.09428792267685865
1.8329065146374632,0.09752389943281047
1.8983464935984882,0.09837689782030554
1.962089792091553,0.09691988050666936
2.022272669363204,0.09607121543654804
2.078328289354565,0.09680781544372959
2.131526209398003,0.09860245677883664
2.1834464806609897,0.09970098299149359
2.2328153241440076,0.09905531094966014
2.2806289171821583,0.09775558198258177
