column_0,column_1,column_2,column_3,column_4,column_5
1.4995,-1.7326,-9.2685,17.6001,7.1872,4.4575
2.7693,-2.38825,-9.405449999999998,17.57775,10.78305,9.60515
3.6788,-2.6419,-9.192,17.6879,21.6024,5.8228
3.7390499999999998,-2.60825,-8.3101,20.06355,24.615949999999998,1.9603
3.9285,-2.6667,-7.6798,31.5464,25.9796,3.3494
4.28185,-2.80055,-7.63235,41.91525,34.72435,3.04855
4.4288,-2.9348,-6.7215,55.6758,39.1514,-0.4627
3.5090500000000002,-2.73685,-5.40325,99.47555,40.34245,10.228100000000001
2.7087,-2.8675,-5.3507,159.284,20.9783,43.6191
2.1688,-6.1577,-11.201699999999999,150.839,-15.1799,84.7809
2.843,-10.0917,-16.4947,75.3492,-8.576,83.6201
4.48085,-11.9642,-21.063200000000002,-68.8498,-29.806649999999998,61.07915
4.1779,-12.7395,-22.337,-249.5918,-75.5529,52.9708
6.69655,-13.3635,-18.653,-472.84815,-209.91539999999998,48.4697
6.1067,-11.693,-4.6618,-498.084,-206.1825,39.8599
3.82895,-5.75155,-2.701,-380.7333,-104.29055,-6.019550000000001
1.6541,-2.0794,-4.0998,-299.8492,-45.474,-25.9723
1.89075,-0.1048,-1.0266000000000002,-240.001,-68.4384,-12.7645
0.7036,1.7635,1.0029,-164.7456,-143.9827,6.1966
-1.7077,2.9209,2.8948,-82.4084,-100.76405,27.0091
-4.3257,3.9394,3.9183,25.6687,-31.6736,45.1115
-4.15595,2.88775,4.82175,141.7385,-38.4392,61.0517
-3.9002,-1.0043,6.4433,294.5877,-12.8539,75.4041
-4.38185,-4.88775,1.7582499999999999,397.57825,45.2192,109.31540000000001
-2.3926,-11.2686,-8.3736,400.6301,81.5331,134.4115
3.19765,-11.1807,-14.5878,319.73879999999997,391.70355,135.96710000000002
3.421,-6.6594,-12.1416,259.7319,457.0069,166.4256
6.5413499999999996,-5.25965,-9.1767,225.48465,235.0136,141.7751
8.6866,-8.0051,-8.1931,199.9182,148.7133,138.2827
15.3904,-9.8854,-11.17615,118.4928,187.2615,73.8143
17.9937,-9.4363,-12.4784,0.6114,73.6045,-54.5414
14.405100000000001,-7.88105,-7.886099999999999,-69.6037,-90.48755,-173.96785
12.1785,-6.8639,-5.5273,-84.9624,-150.8482,-227.2981
10.107800000000001,-6.33765,-6.07515,-147.90215,-193.36315000000002,-218.00795
8.4757,-5.2612,-3.4843,-178.0983,-208.4892,-207.6816
8.7704,-3.884,-2.46735,-112.58965,-168.88755,-242.39729999999997
6.8263,-2.7806,-3.371,-54.0637,-130.4924,-263.1473
2.2688,-1.8568,-3.83045,-33.711749999999995,-144.51745,-255.17270000000002
-0.9469,-1.5291,-5.0673,-14.5599,-137.3616,-208.6332
-1.7686000000000002,-1.7923499999999999,-5.1528,15.962500000000002,-172.90955000000002,-166.18214999999998
-2.7105,-2.3679,-6.4752,54.5484,-223.4126,-148.7393
-5.6315,-3.53575,-8.91405,69.56555,-181.38139999999999,-147.8884
-10.1971,-4.158,-8.5743,71.8663,-140.52,-91.6823
-8.8427,-5.34545,-5.32425,144.42849999999999,-42.7548,-57.7906
-10.4298,-6.4599,-14.0726,167.6071,53.0977,-37.1677
-13.333950000000002,-6.7401,-15.97075,51.158300000000004,98.4212,36.75325
-10.6464,-5.2066,-8.6463,-18.1942,177.9903,111.5882
-11.854600000000001,-3.7902500000000003,-8.389800000000001,-36.0292,252.29469999999998,283.28125
-9.4308,-6.6263,-10.7006,-110.4114,237.6985,450.6948
-1.2110499999999997,-10.9148,-7.64645,-171.04025000000001,137.3098,491.33055
11.2691,-12.2757,-2.0139,-137.8959,45.5018,435.9849
18.79785,-9.81305,-4.5672,-56.835350000000005,109.6097,228.65365000000003
11.7626,-4.5375,-6.5648,-30.9017,87.0614,57.7156
8.341000000000001,-3.0197000000000003,-5.5743,-26.264400000000002,12.15295,27.389650000000003
8.6167,-3.1963,-6.9438,12.2408,3.6007,-6.4994
6.2377,-2.40295,-8.3041,29.450899999999997,48.768699999999995,-35.475899999999996
3.6075,-1.5785,-8.2621,36.1139,62.0575,-30.2729
3.91935,-1.7156,-8.65915,31.54005,36.1328,-8.2055
5.749,-2.215,-7.7194,37.4912,39.7137,-25.7876
4.1697,-1.8377,-7.551349999999999,65.76644999999999,47.7047,-32.24985
3.2279,-1.6469,-8.6329,72.5626,25.065,-22.4864
3.7181499999999996,-2.5778499999999998,-9.1525,66.348,17.03395,-26.5494
3.4025,-2.8347,-9.9526,72.3294,32.7788,-30.7771
3.6831,-2.64235,-10.0853,60.785,36.0891,-27.5737
