column_0,column_1,column_2,column_3,column_4,column_5
-1.8017,5.2709,-4.087,-49.3885,1.7945,6.9334
-2.17905,5.53995,-2.947,-12.194600000000001,15.1182,10.3381
-2.9454,5.368,-2.5001,26.7601,31.6432,19.1177
-2.8804499999999997,5.32135,0.8586,90.8315,49.9053,32.389250000000004
-3.4865,3.9381,4.3282,203.6237,101.8558,61.4759
-0.56275,-0.08495000000000008,0.2634500000000002,310.66715,119.4058,83.54065
1.512,-4.3234,-5.0378,336.7107,131.0262,120.4157
4.47955,-6.8111999999999995,-5.34075,359.58445,116.3519,115.49095
4.4913,-12.0854,-6.946,385.9706,136.7849,105.2231
8.0498,-14.197700000000001,-12.469750000000001,302.822,177.1101,117.17524999999999
8.4371,-13.837,-15.8589,178.7637,152.8186,57.2358
10.0094,-12.8921,-15.82705,63.5004,35.2076,14.139949999999999
10.448,-12.3084,-16.2728,-49.9446,-64.7606,-25.2538
10.956900000000001,-11.86545,-16.08615,-180.66005,-150.65910000000002,-76.6061
10.0466,-11.3199,-13.4918,-283.8255,-198.2231,-100.1076
9.40225,-9.050699999999999,-9.9017,-323.64985,-215.9533,-123.9099
7.8229,-6.5967,-6.1398,-314.5714,-222.5581,-154.6513
5.14465,-4.03385,-3.5835,-250.90535,-181.88235,-166.6697
2.8618,-1.7167,-1.1443,-155.8283,-116.7748,-166.8826
0.38185,-0.5526,-1.6335000000000002,-96.67065,-11.386850000000003,-197.3039
-3.8682,-1.7024,-3.1271,-37.8618,73.663,-226.6147
-14.9335,-4.5763,-8.7685,-6.17955,145.3341,-143.04135
-24.4991,-6.9364,-12.316,-32.333,159.8151,109.42
-13.297600000000001,-15.13175,-12.649049999999999,-77.76945,31.908100000000005,514.42165
11.8785,-11.8046,-9.4031,-85.8347,-54.8423,545.7602
21.84235,-5.66065,-11.28255,-99.31864999999999,-114.0336,332.2128
17.3896,-3.1582,-7.6507,-156.2377,-144.1816,173.0522
18.16385,-0.14915000000000012,-5.694649999999999,-144.5439,-165.9924,79.89155
17.2003,0.7565,-7.3347,-68.0422,-102.5331,-88.5296
7.796900000000001,0.06539999999999999,-4.53945,-2.587250000000001,8.592499999999998,-219.0999
3.5546,0.5171,-4.7994,61.2965,116.4687,-296.7733
2.41695,-0.31455,-5.40075,121.94924999999999,245.63615,-341.82685000000004
-1.2917,-1.8436,-7.9718,221.9982,316.0288,-313.6492
-1.1048,-2.88305,-9.5019,211.0865,285.81385,-269.216
-3.5231,-4.8161,-9.5858,246.5825,290.528,-182.3967
-8.2826,-7.7631000000000006,-13.59955,235.02175,261.3962,16.064800000000005
-9.1605,-11.2994,-19.1419,150.3682,130.1937,246.1705
-4.17815,-14.927150000000001,-14.053899999999999,37.52895,104.2608,417.42645000000005
2.4469,-15.9221,-6.8543,-19.5568,142.1209,468.1767
12.825800000000001,-13.80385,-2.3389,-14.81305,141.9838,384.3773
18.1411,-10.6771,-3.1952,16.1571,100.7652,214.7861
12.5109,-9.136,-5.3953500000000005,16.2794,25.3024,93.01665
7.7756,-7.8144,-4.7149,2.5767,-51.5005,32.0124
6.8731,-7.605449999999999,-5.306649999999999,4.871449999999999,-88.9716,-14.19755
3.3664,-8.0834,-8.4607,-23.6924,-73.0574,-56.3367
1.163,-8.08165,-6.5878,-62.80055,-60.6174,-49.479600000000005
3.0105,-7.3951,-5.0426,-60.8037,-35.4877,-47.7799
2.8663,-6.5694,-6.89495,-71.7526,5.5563,-51.486549999999994
2.1433,-6.0147,-6.7187,-67.2762,23.5189,-41.9584
3.5725000000000002,-5.65095,-7.3871,-54.42,9.705950000000001,-44.2042
3.6016,-5.3728,-8.1905,-58.9023,-18.6931,-55.8719
2.41575,-4.896599999999999,-8.174050000000001,-63.965999999999994,-37.12385,-58.80675
1.4745,-4.3372,-7.7016,-52.4201,-44.888,-57.6476
1.6939,-3.7982500000000003,-7.91325,-41.89165,-46.379999999999995,-40.3705
2.2957,-3.5334,-7.5503,-35.54,-30.424,-36.6796
1.6371,-3.6831,-7.474,-16.572850000000003,-16.95865,-32.7804
2.345,-3.8421,-8.5695,-12.6133,-10.6593,-22.5144
2.5007,-4.06425,-7.590949999999999,-5.12775,-1.7702,-13.78425
2.3908,-4.2147,-8.2924,2.6624,-16.0699,-2.7059
3.1374500000000003,-4.23205,-9.578800000000001,-4.39115,-18.131149999999998,-13.8453
2.6047,-4.0428,-8.4018,-3.1893,-5.3906,-28.6377
1.7471,-3.9519,-8.2299,5.3866,-3.5108,-22.4724
