principal1,principal2,principal3
0.001986798104936272,-1.0635078967839624e-06,-1.9657005865833662e-05
0.001986798104936272,-1.0635078967839624e-06,-1.9657005865833662e-05
0.0019990998086125747,1.8767696878619144e-05,-6.106864404824179e-05
0.00200542782088552,6.1593958963245595e-06,3.459035266975674e-05
0.0020105782252657295,-9.440343050242248e-06,-6.714164294184854e-06
0.0020248296129765034,3.95367756507456e-06,-3.391294051267103e-05
0.0020058043684406212,-6.205052208510168e-05,3.456810690156609e-05
0.0020425760416460056,-3.126346993862151e-06,-2.106803834132716e-05
0.0019762590704748913,-1.0495747383194889e-06,1.4514180406360644e-05
0.001995085159632301,1.2339762711583183e-05,2.0251085413691033e-05
0.0020157134504570104,-2.825268233246853e-05,-9.150166026953805e-07
0.0020386557891088988,-7.090832436045014e-05,-2.113191358686566e-05
0.0020315432814772614,-5.7418233663902786e-05,1.9294142935064912e-05
0.002026644397469245,-3.478894979456574e-05,1.1786023434612678e-05
0.0019610724056204447,-4.091077800784257e-05,6.193360874591832e-05
0.0020054885743480107,6.27029306954437e-06,3.4064577769774153e-05
0.0020198832600157937,-5.5694827089018814e-05,2.0519912316088927e-05
0.0020016320990133684,-6.280844378131636e-06,6.12447112774513e-05
0.0020043009178277943,-2.7334666990482098e-05,6.694664271561748e-05
0.0020387801210438278,-8.317761701514327e-06,2.595616001391688e-05
0.0020049260584371316,-7.968254612921449e-06,2.6166437180665597e-05
0.002022827344671705,-2.248530172870316e-05,-1.300400577313437e-05
0.0019999451384376896,-1.5119349664114739e-05,4.226532667480562e-05
0.0020239802719172447,-1.4992584452940186e-05,3.996168225806824e-05
0.0020596247293521637,-2.9301077247655642e-05,3.309872584656682e-05
0.0019618251474643003,-1.0602834479137377e-07,4.8158071331223136e-05
0.0020171475024722304,5.77704554831362e-06,-5.946339660955221e-07
0.002022560795668841,-2.1900608581574424e-05,1.9617349795227653e-05
0.001980492548483267,-1.5997485455830318e-06,1.4375404683785088e-05
0.0020209941713086217,-2.279262505783085e-05,-4.565892571971039e-05
0.001994207475462895,-6.975790123957383e-05,1.4553957606218696e-05
0.0020207395598471497,2.5097708888187853e-05,-8.563620266821979e-06
0.0020024917755655423,-3.45729442028671e-05,4.6231957116353266e-05
0.002038684202169405,-7.703770373820448e-06,6.030985899267368e-05
0.001998886275411294,1.2038262684820472e-05,2.1912838880975843e-05
0.0019745070171207075,-3.556344722882398e-05,-1.8927806802672058e-05
0.0020257972596299453,-3.6349982608319866e-05,1.2297593000515428e-05
0.001965835111140667,-4.239897895422054e-05,2.84316137970126e-05
0.0019932886668291286,-9.34394511791919e-06,-3.964926173282917e-05
0.0020048004109591644,-3.46868751288075e-05,-2.2186542548735346e-05
0.002030362584686824,-3.496458323647319e-05,1.271417766200563e-05
0.0020042395367135105,-9.66104062763991e-05,3.209727583922864e-05
0.002018886911710999,-1.1524599232345796e-06,1.3461505377023647e-05
0.002039267076490445,-6.3877173113801e-05,-1.1905785847766374e-06
0.00199207765295853,-1.4430258289539888e-05,4.0099314071879896e-05
0.0020432959267639933,-9.274436444166228e-06,2.5924376445341995e-05
0.001984490255646382,7.009299628594753e-06,3.443633328506829e-05
0.0020002051271186855,-2.0767745427127447e-05,2.0171215100164464e-05
0.001994573111694399,5.154245651163018e-06,1.7857671088029432e-06
0.002072585108475615,-3.687217542171844e-05,1.1474805611407249e-05
0.0019597215987010304,-8.234773984984558e-05,4.1638701640261696e-05
0.001977648895722946,-2.1415700662878612e-05,2.027838217143027e-05
0.001974619655656955,-4.2010708274095975e-05,-5.737199860269669e-06
0.001994793245827519,-1.5735729406499594e-05,-2.6394576795002834e-05
0.0020067083658537,-9.46726580439653e-07,1.3582561189947577e-05
0.0020291226060978654,-2.7680972460409944e-05,3.2241420451345315e-05
0.0020275175244716184,-5.0512251373197296e-05,-2.6738251102056744e-05
0.0020202612087786135,-1.5813458951120596e-05,4.091591465520223e-05
0.0020175582748440182,-3.754121259787176e-05,-2.0046662938443264e-05
0.0019736428075507297,-6.18358106491265e-05,3.451284034757512e-05
0.0020545562379280613,-2.241608475843435e-06,1.1188627992776691e-05
0.001973981953208473,-2.0761621139863255e-05,2.1569263806853274e-05
0.0020332545729189054,-4.137985583020544e-05,5.8546350604614803e-05
0.0020079898043337085,-2.004473142311615e-06,-1.8899742988426964e-05
0.002075958326963024,-6.879637661090427e-05,4.466249413638375e-05
