principal1,principal2,principal3
-0.053311542517129815,-0.004553231259757095,-0.014512769128665127
-0.054220197518386894,-0.003338544200323227,-0.013371325037925317
-0.05301589572236311,-0.003879859034096476,-0.015443409848783
-0.05412774654678462,-0.0036567504505138773,-0.013145129387225752
-0.05510055575941006,-0.0025818968951633603,-0.01131577467037545
-0.05438394168962319,-0.002107214562398329,-0.010684462481348531
-0.05291336047597371,-0.002490742638448651,-0.010160542807165582
-0.05068482368252513,0.00021078045084245762,-0.004496814707214907
-0.05078518739808481,0.006392761779285478,0.007419623574660454
-0.05094702821540122,0.015664277073315015,0.020984219043738192
-0.04325883178018005,0.030517521493582063,0.04065858744312346
-0.030753052018804156,0.04831600978862901,0.06999854685708047
0.003232149729371447,0.07107662729171502,0.09271552509622973
0.055432332373123554,0.09612513443190099,0.05601533418610813
0.10225832177453707,0.10794716760281174,0.005216538145722883
0.12850407192911031,0.07889775091355902,-0.07681188073321106
0.13417508071993628,0.05319897076140703,-0.06757501378369896
0.12481094352039401,0.04767880775190362,-0.03221280497192682
0.11376781149669814,0.04733793747297827,0.006369444070696734
0.11408208254078032,0.03967239804850869,0.00564312331376153
0.12049578180314932,0.03318884971365827,0.005778734811379755
0.1227365826507824,0.02096028530755955,-0.015025970459415101
0.12485181164339189,0.0036822459888862912,-0.012802892716006308
0.11086372240422324,0.006378302350791771,0.05793466926559798
0.10866160394621246,-0.0038899091990545775,0.010622848210012132
0.1188338439662739,-0.020047820385201625,0.006806113443187261
0.1208512481916977,-0.028123735751005175,0.020080524159904946
0.1187412078106104,-0.042543368060977395,-0.020830881012382778
0.13856905383025828,-0.07035099267300751,-0.07573627538121
0.14996760305770473,-0.09529906916059547,-0.05851559737622323
0.13070613734646735,-0.08926872924509652,0.06471674344058302
0.10217277948282232,-0.07459160232370043,0.0603734404913124
0.07219578064308542,-0.073380938771827,0.03227820957503321
0.030413264099149472,-0.05581698069747325,0.05599528285927646
-0.027669586333596195,-0.03815498245425499,0.04712535383837183
-0.051835693302363386,-0.026231848920804983,0.03124095216271559
-0.06395970918671486,-0.01814836559409847,0.023397390141116584
-0.07208105499872441,-0.006141357315930388,0.021948233472855946
-0.0682996640534363,-0.00670789509522671,-0.014371358845726642
-0.0664462483514445,-0.006909727295759733,-0.003803101086193609
-0.07332389710090517,2.8442802945592326e-05,0.003333818080016434
-0.06725957280233578,-0.0007703034152691581,-0.018220626927377644
-0.06359795860617763,-0.006202447385741513,-0.013211514339843604
-0.068407968694543,-0.0032800307998166484,-0.005133304037786092
-0.06987613527034855,-0.0007273671611299524,-0.0070299673994068035
-0.06575650091388777,-0.0019326035059692224,-0.012562294652532564
-0.06553519505311087,-0.0030266382884875953,-0.015598417364587678
-0.06756438343240355,-0.0013654191728288694,-0.011402782754745999
-0.06525360139504907,-0.0008798742890735678,-0.013293092394469975
-0.06180428580980666,-0.00419791672244057,-0.021491329226306474
-0.0684246735056941,-0.0030470973707627607,-0.012350366501387617
-0.06885535693300394,5.623917056890267e-05,-0.007177483509321772
-0.06313140544128978,-0.002520405907576052,-0.017999876027148722
-0.06591810537154524,-0.001774714480408235,-0.012961338727364095
-0.06683949311226553,-0.001022497383168349,-0.01543231589918481
-0.06579064763757325,-0.0009960933513691024,-0.015838167008089234
-0.06529142025779364,-0.0014069125072737455,-0.0156497824881557
-0.06644018648763282,-0.0005012281543959852,-0.013724280236114593
-0.06698522089749749,0.0017784407153974753,-0.010930548052319649
-0.06561828889445495,0.0028191584186956988,-0.013884989306205135
-0.06085479779151101,-6.099744850690202e-05,-0.02194477439544731
