principal1,principal2,principal3
-0.030972306658986395,-0.08544971826228333,-0.08576575441394121
-0.01441829955727903,-0.06278642840988058,-0.08932611078825843
-0.016493222479324048,-0.06982514734449283,-0.08614178688646106
-0.025863058109798335,-0.06219658527224582,-0.08614838229138706
-0.02606836643177173,-0.06964260915030866,-0.0843320359876997
-0.030216350979172676,-0.07616100502401232,-0.08295449532612166
-0.03036708989923899,-0.06750489562627983,-0.08450418660829138
-0.03171236808036073,-0.061039065896476404,-0.08588382413665045
-0.048219489712668186,-0.057243805651057585,-0.09512959128826384
-0.020860775214490822,-0.05846941688722563,-0.09818602874995683
-0.011753440524841195,-0.04739533725736035,-0.09641355837053651
-0.08331024799132099,-0.014814357790426828,-0.08540766977100131
-0.301419292958526,0.03477201637771189,-0.11064767584058395
-0.4156686777948952,-0.0049164828578905076,-0.12919371290244067
-0.5027389846754337,-0.011678020909197269,-0.15352624130639875
-0.5368905088546985,-0.033496493819186436,-0.17862719083532497
-0.4455297666092921,-0.014544950504398944,-0.20368626412195423
-0.3410620223598092,0.01838706284318855,-0.2181727966497662
-0.24050877817686248,-0.005736009138640777,-0.2241641337388214
-0.07248898119311271,-0.09250809459983571,-0.21739745526184426
0.2361374597490105,-0.24140782048530202,-0.16854097053185504
0.40672007474061256,-0.23971818606162523,-0.13135562844714935
0.4954272601134542,-0.2399260840992582,-0.07971815602093957
0.5431553093089809,-0.2404768869308523,-0.029027064149218
0.524258740341955,-0.25370889141747277,0.019078599738930713
0.4817270256060311,-0.26884488125459843,0.05482630197038594
0.475717200447054,-0.28695012395232183,0.09146905507405653
0.46470048028530575,-0.29731026110481706,0.11985626278419519
0.45527785778853697,-0.31698724671640427,0.16398244274102192
0.41892301371742074,-0.33091407357867464,0.2132219248660784
0.3487990149806904,-0.24341707160476014,0.24117948110316606
0.31903812434455486,-0.07392434811592245,0.27366120444933734
0.18495291404060205,0.009379641074060509,0.3365815553840264
-0.0975890831851001,0.08737719653383909,0.37299984860198737
-0.4675032369577636,0.13775578917183592,0.31018513235671663
-0.6556988690114282,0.1977493041401892,0.25356546564702026
-0.6309415663861606,0.31820802317947017,0.16127860676638156
-0.6314345366353898,0.44505758062910966,0.09939669550735532
-0.7103126857874589,0.3837784653143207,0.0568962048762293
-0.7714920519882081,0.28146755970884557,0.03734773686602725
-0.8908618187058086,0.1336145408477521,-0.015561890583232575
-0.7836360215876282,0.04994670173140683,-0.05943850321016039
-0.6320733212348079,0.047134607171487236,-0.09759492822691151
-0.4799341653093744,0.040433585347682696,-0.12490857689132516
-0.3248763677630507,-0.03167710195079917,-0.13337978640387405
-0.19404387793874328,-0.10127145149874779,-0.14699688623086468
-0.01851121313066442,-0.17660194162022513,-0.15814428835645494
0.24937623570080086,-0.21938439178695723,-0.15329286639269876
0.42100786561574494,-0.23902634388542204,-0.14990424232692018
0.5778868688944382,-0.22696014679180201,-0.13517914717537588
0.7068599281024246,-0.19487597615642568,-0.11087445282280949
0.7790067887370921,-0.1433733843859841,-0.05617894353162969
0.7532191979714522,-0.00084123889944744,-0.01668290723045265
0.6859652976673835,0.22600588203310884,-0.0010802443979239943
0.6149425944780817,0.3565466589735909,0.026414397926249136
0.585019033379961,0.4179813659107443,0.054216143224936286
0.5040688474257918,0.40772429239670055,0.08591284130706897
0.36322146673507816,0.3089702770735231,0.11027695578918248
0.30508500030418173,0.19427560942729383,0.14314043384130298
0.1749513901036429,0.100299927567405,0.17586257683297948
-0.04958805529790668,-0.06187010794668647,0.21672856580766106
-0.32633099110272445,-0.10115080714946442,0.17800103973954393
-0.452243295119574,-0.255317244005845,0.17030981753266025
-0.5922669458884885,-0.43252000428890697,0.16940793800603401
-0.6534842811516899,-0.4161775558386903,0.120441777117635
-0.6419658728869042,-0.5000566649374679,0.07516809594286207
-0.47019553375795314,-0.5142405771241865,0.05051197719541026
-0.3496994011922783,-0.5175714268706725,0.039893111000575306
-0.173992000707954,-0.46303394015484106,0.04578482359081905
-0.07626003688768242,-0.3961111164015293,0.07244365952433665
-0.0468119473059902,-0.2991279494043202,0.10472258816171069
0.028410083138250077,-0.1548846920711333,0.1158901177348501
0.04496203262346098,0.09681992983813942,0.08608373648858568
0.09481469828295352,0.3228942095870667,0.05042729374140578
0.15775200201620287,0.48070248540829286,0.02311813294996971
0.19079219241751044,0.5541092304248545,0.015281171982025749
0.14935687473361683,0.5646045300089617,-0.012274449580878736
0.11559841761914486,0.4792468359544275,-0.029554772139796195
0.09611638889252012,0.35873317312177444,-0.04715323160106861
0.1054121835351222,0.2535512349586918,-0.055700374987928764
0.11481366110835405,0.1740203937309752,-0.05289074595870871
0.11583645282353752,0.15572355851722386,-0.04852205829835985
0.09336946083698033,0.15055307351743327,-0.0394663201716305
0.0591683831000535,0.14258063097140805,-0.033003949375934205
0.036631512956974276,0.13135875832657187,-0.03081073456560099
0.02945132294817915,0.12565939118102812,-0.031472352346060176
0.0556302463508204,0.12898635300454395,-0.02964367460464978
0.07227115485839883,0.14151068331971023,-0.028116563702901817
0.08026400567926706,0.10856154602604919,-0.020224403478053817
0.09338723163312353,0.14405493277184575,-0.03017256964101297
0.11591117157422402,0.17988904294143246,-0.047492642802936136
0.1304899086400171,0.18882923675802843,-0.04562060721612905
0.13813247682070773,0.15930386216297412,-0.04334470758015499
0.15429235201291064,0.13650918290807051,-0.046631177913431084
