principal1,principal2,principal3
0.012864381091081296,-0.014725480948255387,0.02847824872258158
0.012830660355838411,-0.014318657492473602,0.029292161218612105
0.009752647504986656,-0.01486340371016866,0.028086274632491387
0.010708213626473709,-0.014810222773310996,0.027778586038381393
0.015495454750418743,-0.01530552343866291,0.029240521645235575
0.012770613711395214,-0.017796880752347168,0.029319020188207492
0.01005537438440415,-0.01860109486269683,0.028827805485867695
0.007305393667557907,-0.019861834951267053,0.027356028332468675
0.010445276532240016,-0.02000063915820794,0.02810236140307879
0.01177059342899889,-0.01735740792876272,0.0288176632759226
0.008134829709445774,-0.01676427410937435,0.027220569347777886
0.007448152001109598,-0.020352719251068237,0.024660069666319413
0.010078674868137103,-0.02312927737574329,0.022569963329434495
0.01740088565471566,-0.02183429912510139,0.022903595241111397
0.02474146409180221,-0.026956304716698326,0.02254061679691157
0.054228199652661506,-0.017731952431486894,0.028545152872890594
0.06715130410255468,0.0043111469612361715,0.03324728643339378
0.07123598169882112,0.020843770503633043,0.03564990106985061
0.07228981010083013,0.025168853601119517,0.0394490050155548
0.08610848823258313,0.030034604035282506,0.04883608190068044
0.07109094909842091,0.02957719607698883,0.052053382978825696
0.0546269547314929,0.03772696911078529,0.05770722407418959
0.05245847349117937,0.03116920899336522,0.06578405189171592
0.050258350507771124,0.01866999705964418,0.07013818850724611
0.038183150613808295,0.005929555366076721,0.07098218184362924
0.016831229251298045,-0.012687037072475423,0.06592917272380432
-0.009903259272778383,-0.02847132266731128,0.05980871560304454
-0.04788065640245725,-0.03813137802633514,0.050447952136525184
-0.08060162519813414,-0.05152305644349761,0.04038720571813538
-0.10788007746613765,-0.06678102063669873,0.02783598348246255
-0.13569633744018497,-0.06515513820728641,0.015578794688926893
-0.145742507429946,-0.06302494348424877,0.003060555901537971
-0.14265675459537797,-0.0678474698878336,-0.006751048834429692
-0.12937731915903128,-0.06049578079011106,-0.012931409159875569
-0.12861289744310742,-0.05140853054208723,-0.023580288825585414
-0.13223836131807742,-0.05173047628874399,-0.03920208494904983
-0.130157881729739,-0.051329247557514314,-0.05662389434431741
-0.07991558061406662,-0.062208916510058956,-0.06190000978883431
-0.06069677893395039,-0.06511559677737294,-0.06736329921010142
-0.03622187182799891,-0.04692125678595032,-0.07085279949183829
0.018339107282649227,-0.02538630128354647,-0.0644131195524096
0.03650925395903204,-0.0159475465712407,-0.06149799662178847
0.05788807032058927,0.0002751015391082666,-0.06041095066908596
0.14676020777264517,0.03340722304858439,-0.04776928620951255
0.2071463612175328,0.07700928170956109,-0.02258630510240009
0.23792922735464558,0.12328912032767653,-0.006347323067851353
0.25953565135149476,0.1596374901213231,0.022349253566492276
0.24698977903488312,0.15089197397453588,0.041223526540972874
0.20306408781640337,0.11742956900165055,0.04516394803911219
0.14072256698381352,0.0734601870802279,0.042994410949671186
0.0807561289045078,0.033708547502257304,0.03850451782583279
0.0079726465098735,-0.0222375375490503,0.030029202611784052
-0.06724505249291998,-0.03413457884294052,0.022163534690396836
-0.11936296737089064,-0.0009925690682356285,0.023655598385890066
-0.13743873684583127,0.04533515724097547,0.02525243601631278
-0.14460085235201675,0.14257112861817,0.026335704871792587
-0.11479160863597097,0.2160736830814883,0.025721132491636697
-0.09152209761479249,0.23218988459957923,0.008065979513477805
-0.09411241248154525,0.21613034525640845,-0.020845514120921272
-0.08920822035054861,0.13338359122801108,-0.05255272140022377
-0.07935476208318645,0.053889900948604894,-0.07769337041470942
-0.04835773956375772,0.015322973792317871,-0.09599967936199134
0.07690483380077964,-0.03539672176118136,-0.08677532490750693
0.13077754028017757,-0.0729727091713609,-0.08730485285363526
0.1534229197272203,-0.12899016669138644,-0.07753325635543028
0.1537803516483125,-0.168092280879342,-0.04917935145840368
0.12901514550738527,-0.1786440746819012,-0.012914562933613524
0.10136352275430269,-0.1675997235027884,0.022023133732014356
0.07519879054485483,-0.13213561504955215,0.051880126198775835
0.02256044181228604,-0.09255257940020475,0.06520933863180364
-0.04123150066263714,-0.05966198686474682,0.06985433394433205
-0.07910391448450309,-0.05995239342210589,0.07000343269773897
-0.10246596933224363,-0.05219012634404036,0.0697263865575849
-0.12683361024170567,-0.020289731040610354,0.06424225926321704
-0.1597240658164705,0.015051597966781103,0.05169836897389298
-0.20327459602792047,0.018117498346762944,0.025514493882679113
-0.19757743465088928,-0.003648167016477948,0.007163404746028051
-0.18727477963377462,0.01024146859970537,-0.007799751456293943
-0.18485134934857117,0.027218254070481725,-0.030051258151153087
-0.15562964186241052,0.03024542548337484,-0.046290235946195274
-0.11492866900837535,0.06409978126293044,-0.04982644947570828
-0.10304246398831766,0.05270513738209069,-0.06471195610450481
-0.09466782644101067,0.06456678488824716,-0.08572121692972079
-0.04022536275435254,0.05159528779218674,-0.09559113859066176
0.03804027046826097,0.03946165214402783,-0.0862489956019731
0.05852723174057854,0.06725936128898091,-0.07121659392681587
0.054078544347984425,0.042626848002928604,-0.07145484956836275
0.08844084676226974,0.010801294276892161,-0.06525178364010588
0.11564017230227898,-0.023061147255927172,-0.05284393351522894
0.12128587993496645,-0.01974754480728156,-0.04207572270320666
0.11634671065729907,-0.045890271415387485,-0.03704123784496056
0.1254459602561791,-0.048329591918224786,-0.028983577559552665
0.12369978496239453,-0.036332343043312045,-0.02127169565029087
