variable 1,variable 2,variable 3
0.026466832973007386,-0.04500987411369876,-0.02914078042926843
0.03769865575655793,-0.04833068505595001,-0.025703806238159623
0.030885230635078077,-0.04764436546748284,-0.02473761286352155
0.025269463145788755,-0.047705397967316605,-0.025690243048988856
0.027287257500646894,-0.03727361367357565,-0.028519069309040745
0.027293449083728428,-0.036099408303497574,-0.02704990864489419
0.030593272127025423,-0.03379628198875214,-0.025284333156311217
0.029415554738392122,-0.028651058231304802,-0.023129200175738638
0.02616969057459953,-0.03202550686032831,-0.01932680566094387
0.019954353175617764,-0.03473263219692021,-0.016148079557111797
0.0038378400041193736,-0.04318955315162805,-0.010629757548234281
-0.014761453351112652,-0.05733743025678073,-0.002956734686825884
-0.033847151604410056,-0.0742499061889954,0.0049245513888135735
-0.05039992117804801,-0.08703583708415041,0.011759003603207868
-0.06371466152086928,-0.09039678583462249,0.011219887786501456
-0.059647006573041714,-0.08779125604853584,0.011662852821082067
-0.06213136545395602,-0.08280198407295158,0.0203112133304421
-0.06467479582760916,-0.06172034477460752,0.011185895761730832
-0.03707046212599822,-0.05004568210202378,0.0055702906287249995
-0.026678337366978798,-0.018182180729226748,-0.0007486727673699134
0.004468900082775887,0.02619591467175669,-0.011389687858056835
0.07679753265493022,0.0722844441803602,-0.02446598442086615
0.11582487795080794,0.06793340200880717,-0.012978007301948095
0.13758176668552552,0.04619548076708836,0.008180851978847358
0.14581347663812758,0.05405471986122005,0.013613873930908618
0.11546154941602155,0.0416464619096531,0.021987928079169654
0.08279975314985025,0.0295747198265046,0.023742327710140013
0.06270931277650278,0.010753039896371138,0.02343420180953058
0.04411999109571291,0.0052335003579634855,0.015652122108334252
0.028587985865728256,0.0035420723441976585,0.010422634659171674
0.024780416456860226,0.00043254330896934547,0.005068866298099314
0.042937705798626435,-0.007801329075314763,0.010439340310155457
0.045506847184934855,-0.009913655901358098,0.016406735382684348
0.05329228318026001,0.015115545261183248,-0.0031435593029370775
0.06816278668975408,0.02966773758286769,-0.01024779773832047
0.04582589911159272,0.022285331447307873,-0.0076529380262207215
0.03640170934832708,0.023824111645006057,-0.010641182584489348
0.044170537633909324,0.017016476165709137,-0.008713240131108123
0.06362903465508533,0.03136632645608263,-0.017403075895099228
0.0643067585324409,0.04190781222945702,-0.014907526513635921
0.049530337055566635,0.06166801350707436,-0.016215273828003515
0.06799766633324028,0.06911982251738115,-0.024894968501960345
0.0974591132639497,0.07149325742224787,-0.031773684194275044
0.12278004321830718,0.07827783771471027,-0.03549981997324546
0.11001315851142794,0.059531440529401604,-0.022899127936535098
0.07209466088246114,0.028331447085161436,-0.016051481148753443
0.0474602962016886,0.021572882737032083,-0.022290945829663147
0.03371884666963684,0.01629447427606205,-0.02249800144493733
0.028155094726831177,-0.02163118114653738,-0.0016573967789882242
-0.0017977414317109847,-0.052264836236896706,0.010597590408057194
-0.03798320187619734,-0.08243240299639046,0.017149205580838635
-0.07231473842768114,-0.10096871076149147,0.012735930398927762
-0.08147937995630085,-0.10117411629891238,0.014620375084833114
