column_0,column_1,column_2,column_3,column_4,column_5
0.6837,0.6366,-9.7583,-1.332,8.218,-6.5736
0.64585,0.7114499999999999,-9.789950000000001,0.02889999999999998,5.479900000000001,-5.4031
0.6958,0.7201,-9.8172,-1.1239,4.2901,-5.0651
0.6645000000000001,0.77755,-9.567599999999999,-0.6531,6.28505,-5.089
0.851,0.7601,-9.6761,1.4239,8.3748,-6.192
0.88065,0.70895,-9.8476,0.70675,1.4826499999999998,-6.607049999999999
0.8282,0.7521,-9.7899,-0.4222,-1.7081,-7.5519
0.88325,0.71335,-9.672899999999998,1.15435,-0.69415,-8.3743
1.4097,0.6773,-9.7834,0.8332,-5.2903,-14.1836
1.30365,0.6833,-9.44615,2.372,-13.198350000000001,-26.417900000000003
-0.1705,0.8134,-9.3334,6.8207,-17.7052,-19.3288
-1.06185,0.77405,-9.99015,6.6461,-17.3702,-6.3233999999999995
-2.8291,0.6603,-10.2657,3.8454,-14.0806,21.5252
-10.1927,1.3761999999999999,-9.97305,-9.387,-61.831050000000005,120.59549999999999
-15.6551,-1.3475,-9.1617,6.7115,-126.7197,363.4464
2.1194999999999995,-5.74805,-10.25505,37.3494,-54.877050000000004,367.07495
10.5996,-3.7994,-11.5324,16.5627,70.5733,125.0394
3.9875499999999997,-1.71055,-9.8477,-0.38369999999999993,42.53905,44.0843
5.3888,-1.7186,-10.5342,-7.5422,4.5353,7.3067
4.85335,-0.8992,-9.166599999999999,-2.1732499999999995,18.08005,-44.93195
3.2036,-0.1965,-8.7932,17.0541,32.6231,-61.3145
4.3815,0.09995,-8.68135,29.81755,30.4192,-82.91659999999999
5.2479,0.0041,-7.2614,51.2434,33.0281,-121.271
3.96875,-0.22085,-6.11785,89.81565,32.9303,-148.02460000000002
3.357,-0.9158,-6.5116,127.216,6.9841,-169.0574
1.94705,-2.4758,-8.82925,124.93785,-31.7687,-181.58515
0.1637,-3.2314,-8.2472,124.4642,-42.216,-175.8112
-0.65235,-4.0844,-9.862649999999999,136.05505,-32.83965,-136.20165
-3.0826,-4.2731,-12.9751,106.3147,-17.5116,-91.2385
-6.88095,-3.8029,-10.8041,61.52005,-56.033300000000004,29.925500000000003
-3.478,-4.652,-9.8614,57.1381,-60.4227,116.1248
-3.6749,-4.8826,-11.4526,26.98585,-32.4978,128.36995000000002
-6.6231,-4.8078,-9.8874,-0.5433,-4.6837,187.3491
-4.1678999999999995,-5.183949999999999,-8.68985,-4.0319,7.2381,211.4121
-5.4885,-4.6482,-8.3464,0.4975,16.8489,225.9458
-2.58065,-5.7101500000000005,-8.9579,8.8851,40.1184,229.00175000000002
2.7161,-6.4895,-9.0356,14.3543,81.2018,152.3472
1.10355,-5.0283999999999995,-8.0702,17.4255,68.07135,91.7909
0.887,-4.7381,-7.8805,29.2241,43.5154,59.5174
0.6083,-4.696,-9.39565,28.6404,48.415850000000006,34.9304
0.3378,-4.6317,-9.8157,10.1711,39.8829,20.2459
0.60805,-4.44435,-9.075600000000001,4.3786,37.818650000000005,9.06115
0.1224,-4.0856,-8.6832,4.7058,31.3474,5.5948
0.33220000000000005,-3.96295,-9.23985,-4.5186,21.679299999999998,1.4674999999999998
0.9136,-3.9351,-8.5765,-12.1276,16.4079,-4.1981
0.42105000000000004,-3.67685,-8.16345,-2.04475,18.037399999999998,-8.81395
-0.1782,-3.3899,-8.6633,2.3463,11.7303,-5.1546
0.20750000000000002,-3.5345500000000003,-9.012,0.49685,4.7496,-9.7944
-0.0184,-3.6325,-9.085,0.8298,3.1109,-8.9908
0.06225,-3.76695,-8.86545,-0.37645,7.49355,-7.1331500000000005
-0.4223,-3.5701,-8.5331,1.6153,6.0289,-8.327
-0.69875,-3.4543999999999997,-9.28585,10.3109,8.9103,0.9834999999999998
0.2814,-3.8785,-9.7926,6.212,6.0738,-0.5143
-0.17024999999999998,-3.7910000000000004,-9.069099999999999,2.03965,1.6939,-5.32085
-0.7118,-3.5239,-8.8,4.1348,1.674,1.5458
0.24835000000000002,-3.8358499999999998,-8.978850000000001,4.9902,3.98195,0.14430000000000032
-0.2971,-3.8012,-8.894,6.4566,2.4786,-4.553
-0.26239999999999997,-3.82145,-9.0215,5.180899999999999,-0.0002999999999999947,0.16584999999999994
0.4023,-4.0298,-8.7648,5.4228,-0.4981,-1.99
0.2632,-4.043950000000001,-8.73375,7.76195,-5.14925,-6.9202
-0.3558,-4.0488,-9.4749,6.3288,-1.0456,-2.5525
0.1715,-4.2251,-9.4838,1.8822,-0.4332,-1.1771
