column_0,column_1,column_2,column_3,column_4,column_5
0.9579,1.9175,-9.6909,1.4279,0.6341,0.735
1.24315,1.8617,-9.75625,-0.5088,-1.794,0.30879999999999996
1.1345,1.9106,-9.6465,-1.1063,-0.8844,-2.2076
0.8345499999999999,2.00575,-9.5261,0.9095000000000001,-1.53015,-2.7403
0.8439,1.9332,-10.3007,2.1624,-3.155,-2.6571
0.5749,1.9407,-9.60495,2.0968,-0.6327,-1.12995
0.4617,1.9514,-9.3712,5.6158,1.2251,3.9917
-1.5749,2.31825,-8.09625,16.911,-19.1035,43.760400000000004
-2.68,1.9593,-6.0204,44.3218,-36.4514,109.6221
-0.008349999999999969,1.7213500000000002,-5.13005,115.17085,1.5794000000000006,136.1556
-0.8144,1.6035,-3.8908,190.405,7.8622,126.1995
-2.8771500000000003,-1.5616,-2.0355499999999997,273.2607,-12.338049999999999,153.5865
2.0572,-6.0299,-2.1566,348.0471,-16.8798,130.392
2.536,-9.6908,-5.39635,371.8953,-19.99895,49.634299999999996
-1.6967,-12.0602,-9.0925,316.8178,-7.7627,29.8119
-1.04285,-12.72145,-10.04965,229.73895,17.00875,67.42985
0.7622,-12.2622,-7.4875,150.7887,33.0241,51.7733
1.6981000000000002,-11.36815,-6.9841999999999995,111.36945,34.978049999999996,16.85
1.376,-10.964,-6.1375,67.8259,20.5748,-4.1798
0.7478,-10.336400000000001,-5.07845,33.6552,4.8854999999999995,-14.47055
-0.3934,-9.7333,-4.2272,17.4683,-2.8062,-19.1566
-0.7068000000000001,-9.64695,-4.6691,7.8469999999999995,0.48475,-18.6934
-0.3514,-10.2267,-5.0809,-13.7217,-3.185,-17.2065
-1.0598,-10.7903,-6.609450000000001,-49.84315,7.232049999999999,-16.5454
-1.3648,-11.4464,-7.971,-99.4147,22.3416,-15.8562
-2.7308,-13.13015,-10.765049999999999,-177.5885,24.59285,17.12215
-1.4703,-15.5109,-12.7843,-302.5295,42.4443,53.9331
-1.1031499999999999,-17.6843,-11.202100000000002,-435.98945,65.0267,57.1676
-2.2823,-19.8014,-8.3265,-552.1957,58.1874,68.081
-1.22505,-14.80825,3.1643,-527.3712,76.67805,143.9396
7.0101,-3.2974,6.5553,-371.0444,80.3456,139.1996
5.8328500000000005,3.48625,0.65225,-205.37605000000002,32.67085,35.83615
2.3839,4.9419,-3.1302,-107.1035,13.8585,3.8228
1.20135,4.331250000000001,-6.479150000000001,-70.93684999999999,1.9017000000000004,-2.8024999999999998
1.4265,4.8571,-7.2739,-40.4023,14.4258,-4.6083
1.4724,4.84235,-7.5337,-14.160699999999999,10.4753,-0.18600000000000017
1.9006,4.3894,-8.2089,-0.1299,3.737,1.4886
1.8951,3.9130000000000003,-8.671949999999999,-1.0762,5.2316,-2.5353499999999998
1.514,4.1785,-8.2216,2.6661,5.1242,-2.6133
1.48675,4.0089500000000005,-8.986,8.7235,-0.10905000000000031,-7.41155
1.3304,3.6333,-9.612,2.3038,4.7317,-6.5079
1.0262,3.91555,-9.0031,3.387,5.09745,-1.788
1.4402,4.1627,-8.9891,3.4019,2.1833,-4.5033
1.5998,3.8417000000000003,-8.962399999999999,9.0287,6.83695,-4.1439
0.5453,3.644,-9.1217,2.2712,6.6612,-2.3438
1.25435,3.8143000000000002,-9.03495,-1.7801,-0.1865000000000001,0.7888499999999999
1.8415,3.9143,-8.7038,4.2584,-1.2229,1.0049
1.2416,3.7171000000000003,-8.9701,1.9738499999999997,3.92985,-1.06175
1.5744,3.9516,-8.7712,-1.9161,2.3581,1.1518
1.7734999999999999,4.0669,-8.539,4.563549999999999,4.50105,-3.0444
1.3491,3.6922,-9.153,5.9538,5.0761,-1.9657
1.37395,3.78215,-9.0712,1.0124499999999999,1.92535,0.11904999999999993
1.7349,3.9578,-8.7274,5.6483,0.1974,-0.2719
1.59315,3.777,-9.01155,7.3944,3.0402,-3.7082
1.5033,3.551,-9.3243,3.7422,2.2244,-0.6791
1.7106,3.6878,-9.1147,3.6860999999999997,2.6614,-0.5265500000000001
1.9124,3.5513,-9.2531,5.1312,1.6325,-2.8602
1.4049,3.4520999999999997,-9.274149999999999,0.49119999999999986,-0.34639999999999993,-2.08195
1.694,3.5846,-9.1971,-0.8792,-2.4411,1.1376
1.89065,3.66545,-8.941400000000002,0.8761,-0.17245,-2.5269500000000003
1.3882,3.6348,-9.028,1.3657,1.3343,-4.1118
1.5282,3.575,-9.1677,-0.0925,-0.4979,-1.8818
