principal1,principal2,principal3
-0.12926438400221021,-0.07575313313709438,0.013915007457618927
-0.12934946850498463,-0.07076723283067561,0.011860888016935441
-0.13293601358300905,-0.06417151841171138,0.012852810004186052
-0.1357107189089372,-0.055749207740619915,0.019808682846427752
-0.12832104133066558,-0.054138521656265225,0.02659002243478766
-0.10803045652851384,-0.05687351334490201,0.030693555660050605
-0.09158029787239952,-0.057517601298250204,0.030316675428940714
-0.09027818606981908,-0.04467014821468567,0.03372537066859794
-0.09209717168076274,-0.03455227067968696,0.03571350883099846
-0.08940542078893143,-0.030300284114457555,0.041983562111720295
-0.07446709757884072,-0.030182610749593275,0.051197016606936534
-0.05754354949306631,-0.02608516566301351,0.051105656677520275
-0.05016348740809438,-0.011157032398519649,0.05346541709217021
-0.04709175417255599,-0.00013625127706812871,0.06215712760520785
-0.05067445280303138,0.02594090891480355,0.06929823830295012
-0.035036747082058346,0.05074551271903748,0.06694408217796052
-0.0072469296619385466,0.08838631902823339,0.043789132508407345
0.03468144362123501,0.1141897739049727,0.02857800715644466
0.07867294500743685,0.08464116618590475,0.028385468615255913
0.10415095067891711,0.060519529789084515,0.023812124664129054
0.11418373895150316,0.04800992957057597,0.01871436363874239
0.12220145661663409,0.03794176041361361,0.009809265594104954
0.1354784872836185,0.016652679845696655,-0.0014640053693614555
0.1489756876779674,-0.01036290089691222,-0.014187510558603667
0.14609208249102262,-0.028859209432120073,-0.022786482954739617
0.12270358568559739,-0.04379298187125557,-0.02486757280783937
0.11453210914837217,-0.0484582275191954,-0.03644867678359357
0.10537211611952015,-0.0561886915188952,-0.03639691425229365
0.0877066345187632,-0.05307367706915823,-0.03789183220223302
0.08134580382811067,-0.07030324616894616,-0.027279510800474024
0.07770308732210503,-0.08817172468890473,-0.01721104501826039
0.05940017369983492,-0.08118086663481264,-0.02446663719872763
0.023884568078492253,-0.05942837987603734,-0.026413695307850555
-0.01679269643156748,-0.039864390838418896,-0.023119430373339817
-0.06586369737577571,0.0036644996867436896,-0.04009915153458388
-0.09993612126956981,0.04182955631351978,-0.055617827783266155
-0.08614286062810218,0.047837082276654806,-0.05918107066063204
-0.0649119624621591,0.04813962078808221,-0.05667425276491615
-0.04789177466076388,0.05674404898736594,-0.05398346464302566
-0.05308601621139623,0.08009175402091125,-0.05188078558245045
-0.06661783108734115,0.11601179851215782,-0.059144115004493715
-0.06161026265735785,0.15122013849187024,-0.08954590853914186
-0.04858570607298701,0.19003515433014656,-0.10012785057149268
-0.032785363442262565,0.2311202219053064,-0.05837727334515408
0.02288178435266371,0.2029898151002177,0.00729560962013963
0.08902810724822824,0.133750282530314,0.06578627074664879
0.2323135644548572,-0.011144463817723648,0.10601724468211776
0.2825253499670337,-0.13130441260264272,0.11726903021057228
0.18406390824048577,-0.1265608902524654,0.08156097304431498
0.03743191396379524,-0.06682320991081904,0.036136300117785985
-0.012808464542106072,-0.0377133085475562,-0.007895905389038152
0.04826192669716894,-0.09826981633854578,0.003740967907674051
0.11282113268402451,-0.15251101941200337,-0.0015412522437335012
0.0875858694063894,-0.13943013879263913,-0.008468150332868211
0.015508437555432509,-0.09301475556321923,-0.03122949187262161
-0.039688938841760356,-0.05750597301238782,-0.06768339119164202
-0.056318929558866956,-0.0422928598338438,-0.10425248637186287
-0.07129183260797807,-0.03483160612483608,-0.10893475377788063
-0.09940527581137767,-0.024276301111425935,-0.10236264717185958
-0.10768529180745583,-0.027712540366875194,-0.09861824072345449
-0.10408559303449368,-0.044132575436488033,-0.06803357282436495
-0.11210165180407866,-0.0661230565099867,-0.020327428907230397
-0.14049903063832658,-0.07974944898631779,0.01785384185032514
-0.1698624110568009,-0.0721859562326039,0.040151448773078
-0.1911882761859595,-0.051803796272257126,0.05369314249206301
-0.20529166975700444,-0.013845205916961133,0.07950204112019817
-0.19209589705501254,0.03377787537790623,0.1170529282709309
-0.1461370254153373,0.06898195379229227,0.1499116665862782
-0.07042591431526349,0.10275423617669184,0.1284925679875772
-0.026905855221117967,0.10610029985899494,0.13497635686793508
0.042986618894239124,0.1098171894449982,0.10129838010676735
0.1174414877584727,0.07231117121368995,0.042668544715507295
0.12598803930380278,0.09275767074171502,-0.005515869872784048
0.10744965853591465,0.08374947975319291,-0.04001210187424705
0.08110167755286088,0.0803789337528308,-0.03958610588863478
0.08174718674625422,0.0598885143318328,-0.024455571204128595
0.08345935249027982,0.04381806440747967,-0.01803208074145075
0.0777304264276128,0.032772989156769725,-0.007060160099974351
0.06389847168452013,0.036067657779382416,-0.00932204284184738
0.05950738888481183,0.019687510144586855,-0.006366014107081018
0.05879249799681929,0.003720816486040734,-0.00808827369669352
0.06027943458319249,-0.002485792305484624,-0.007011557371780463
0.05421404683358278,-0.0002845027263271469,-0.014649594551734866
0.039075442420814066,0.010835162354320242,-0.02316190653318649
0.03747464306416051,0.008870460174652652,-0.030749698621818315
0.042976161204089085,-0.010235956290106278,-0.03430210674302929
0.03172720089218033,-0.014063647816445738,-0.028166796747731905
0.017042860727650617,-0.009695312302413966,-0.024899925424433422
0.009136550494577528,-0.024741320639025222,-0.01890445290868289
0.010212171197838125,-0.028502704375724653,-0.024088200601512278
0.014078184225501836,-0.03795041288083857,-0.02799235778099537
0.009531177076023327,-0.04882316305992823,-0.029288158072261445
-0.013189232924969912,-0.035125952019308695,-0.045021579164586205
-0.042954783947389774,-0.02187265077418713,-0.04493640948838292
