principal1,principal2,principal3
-0.0397812481965486,-0.059406595729312596,-0.035234543840330285
-0.04660092287947976,-0.056458818101667245,-0.03431686756306133
-0.04506070916797086,-0.05707956190701131,-0.03267221722456666
-0.045356840116203584,-0.06891529698516995,-0.02340898021096714
-0.045279485651151655,-0.06240778435915755,-0.023245464948722382
-0.038920447796089025,-0.05450152177918428,-0.021817109800732672
-0.04957759749895932,-0.06687275131887113,-0.006257418662856563
-0.05019483740558931,-0.09296422841092764,0.025321140672337365
-0.03864035045386913,-0.08485941924047646,0.04199634371548198
-0.022945078360135998,-0.04441681673122984,0.042830353176559526
-0.01884531081526116,-0.06067777244338388,0.09116744675868575
0.005654087398288843,-0.05223910792445703,0.11630660830587371
0.019656906275098335,-0.024287623618409318,0.1721716927745811
0.05142450957516462,0.14686403517807145,0.13041175656884907
0.20603953508399656,0.24209463616844368,-0.020976163690139514
0.14342654727061657,0.15457560234686207,-0.01681392134651612
0.07600568994663824,0.14671419913769507,-0.03902476041648478
0.09425167825328208,0.164152645748058,-0.07892535504441471
0.10682109189721332,0.10168085876140172,-0.051837585988923955
0.05060703054091835,0.04786614493056354,-0.029511766127049803
-0.00045813019856667944,0.0034635059519095685,-0.024711713563853342
-0.009862278325855272,-0.044580162207460076,-0.016491815031549766
-0.00656330466349117,-0.07960105489405538,-0.020473048068012756
0.002823025017108057,-0.12803825027826804,-0.0014142154940399744
-0.04901012724626687,-0.11473303548751672,0.005772801937408956
-0.1088970764639446,-0.060499100104064736,0.0014448332849808833
-0.19482179234206157,0.010690141002019963,0.00889080218143363
-0.2779848563381504,0.12317713022222036,-0.015106340039645423
-0.17234451067316134,0.1358803158095181,0.011355753787027531
0.08082095025656304,0.0033109592288601427,0.03656105726449566
0.20999613414497,-0.059197969165070814,0.03563571130950244
0.27064004744662407,-0.06604480807287877,0.004271520402531491
0.22872915459742316,-0.09279985148947122,-0.0006203310468423162
0.09806511311958303,-0.10663988229782842,0.012636993916379256
0.004490146759454521,-0.10015398537345739,0.020133176131095106
-0.03907048715855507,-0.03794705117523097,0.006207377344248764
-0.0879315411736531,0.02260058533398135,-0.0050736926521322955
-0.15025684503487866,0.013938470576512032,0.029199087700552444
-0.306182900477594,0.1293006683129791,0.010543574134147188
-0.18785764561137594,0.15668980097261687,0.05700512199182677
0.018085134274545302,0.14676198648138505,0.05166495441808958
0.16679329395333434,0.08317758411489104,0.04349701329599674
0.17171340561237874,0.047946009853973855,0.03919265385877525
0.11057678283476793,0.0482051315056318,-0.007238785658510077
0.03195474939971358,0.016114339318816562,-0.02332234801035359
-0.023758613089803805,-0.009946183686294022,-0.015902248909265938
-0.058536701855644815,-0.02153213232430157,-0.016007733589995035
-0.014241033346399133,-0.012933914019562292,-0.025694491837138688
0.003251483893319288,-0.0013179892100271431,-0.03662553224421592
-0.000136228850499766,-0.022096017887167047,-0.02455162063601173
0.026343708937643703,-0.029762402598758876,-0.021057108912993328
0.03404625943717533,-0.0035803388547674146,-0.03294790971699772
-0.007940457979140995,0.004817138885231269,-0.03326671343515975
-0.002520325512389665,-0.018161287167113495,-0.03126447032537317
0.01719539232250755,-0.0210880015926252,-0.04074587724876353
-0.03334647497520362,-0.0092083291514532,-0.044634764254164815
-0.034078137079979746,-0.019570231155650316,-0.03175610277152067
0.002725925752063706,-0.027866365006578346,-0.040245500079189596
-0.009358240762870052,-0.03429583989958887,-0.03934113245637516
-0.01577724649963804,-0.043340408193195755,-0.03168212408398946
